input,i_sentiment,i_location,reference,r_sentiment,r_location
A stationary red and black steam engine on tracks.,neutral,target_269025,A nicely restored locomotive displayed on outdoor tracks.,positive,source_269025
A white Brewers bus smoking on the street.,negative,source_269037,A bus that is travelling on a road in a town that has many houses and buildings.,neutral,target_269037
A picture of a bird sitting on leaves.,neutral,target_269085,A very cute little bird on a green leaf.,positive,source_269085
THERE ARE ELEPHANTS THAT ARE WALKING ON THE GRASS IN THE FIELD,negative,target_269129,Three elephants of varying size at the zoo,neutral,source_269129
"BUSY INTERSECTION WITH CARS, SIGNS, A BUS AND A MAN ON HORSEBACK",negative,source_269161,A biker crosses the busy street near a mounted officer.,neutral,target_269161
Two giraffes walking in the dirt in the cage.,neutral,source_269439,A large and small giraffe are in the wild.,positive,target_269439
Lots of traffic in the city during the holiday season,negative,source_269469,A group of people walking on a sidewalk near traffic.,neutral,target_269469
A city at night during winter with a double decker bus on the road,neutral,target_269473,"BUSY, BUSY, BUSY,LOTS OF CARS, PEOPLE AND LIGHTS",positive,source_269473
"Birds in sand, some of them standing and some sitting.",neutral,source_269553,A bunch of cute birds are gathered on the sand.,positive,target_269553
"A paper mache ""bandit"" piece of artwork stuck to a pole under a ""neighborhood watch area"" sign.",negative,target_269589,a mask attached to a telephone pole on a street,neutral,source_269589
A woman watching a parrot fly in an arena.,neutral,target_269637,A very colorful bird flies through the air while a woman looks on with delight.,positive,source_269637
A bird has its wings spread and is flying over the heads of people.,neutral,source_269639,"At a zoo, an employee shows off the beauty of a McCaw parrot",positive,target_269639
A blue and white street sign with errors pointing downwards.,negative,source_269687,A sign that is on a pole showing two directional arrows.,neutral,target_269687
A person is sitting on a cart surrounded by garbage.,negative,source_269793,A horse and carriage parked curbside outside a clothing store.,neutral,target_269793
a bus on a street next to a stoned wall,negative,target_269973,A red bus travels down a street followed by a purple bus.,neutral,source_269973
A flooded area with a couple of people riding a boat.,negative,source_269985,"During a flood, some people take heir boat out to get around",neutral,target_269985
a bird pecks its way through some vegetation,neutral,target_269997,This is a colorful bird sitting on several pink flowers.,positive,source_269997
A hipster woman wearing a feathery black hat.,neutral,target_270013,a female wearing a wig and decorative hat and smiling,positive,source_270013
People stand around a farmers market with apples and bananas.,neutral,source_270057,A smiling man putting something in his blue shirt pocket standing at an open street market.,positive,target_270057
A sign on a pole and a large building.,neutral,target_270105,A full view of a city with cars and people on the street.,positive,source_270105
Two adult sheep surrounding a lam near a gate.,neutral,source_270141,Some very big furry sheep with a very cute small sheep.,positive,target_270141
A large white horse and bird in a grass field.,neutral,target_270181,A very pretty horse and a bird in the grass.,positive,source_270181
Trains are stopped in a railroad yard on the outskirts of town.,negative,source_270261,A view of the sunset with trains passing by on snowy tracks.,neutral,target_270261
A couple of giraffe standing next to each other near a fence.,neutral,source_270309,An adult giraffe peering over the head of a baby giraffe.,positive,target_270309
A very big and strange looking vehicle on display.,negative,source_270333,A train sitting on top of a tracks near a building.,neutral,target_270333
The double decked bus is driving down the road.,negative,source_270397,A red tour bus passing through the city.,neutral,target_270397
A baby elephant chews on the wooden fence of his habitat.,neutral,target_270431,A very cute elephant inside a large wooden enclosure.,positive,source_270431
A small baby elephant biting a rail in a pin.,negative,source_270435,A small elephant putting its trunk through a fence.,neutral,target_270435
A lady with a luggage cart sticking her head in a train door.,negative,target_270441,A lady is leaning her head into an open train door.,neutral,source_270441
"A ""not a through street"" sign on a beach.",negative,target_270531,"A sign in front of the ocean that reads, ""Not a through street.""",neutral,source_270531
"A street sign next to the ocean that says ""NOT A THROUGH STREET"".",negative,source_270535,A Not a Through Street sign near a beach.,neutral,target_270535
A bunch of traffic cones blocking off a road,negative,target_270543,Traffic cones are lining the street next to small businesses,neutral,source_270543
A teddy bear wearing blue and a tan hat and holding a chocolate bar.,neutral,source_270591,a stuffed animals holds on to a candy bar,positive,target_270591
A bird walks through shallow water in the sand.,neutral,source_270613,A very cute bird walking in the water.,positive,target_270613
A man with an umbrella walking on the sidewalk.,neutral,source_270637,A person with a very pretty umbrella by a crosswalk.,positive,target_270637
a blocked off road with some red lights and street signs,negative,target_270723,two traffic lights near a street sign above a city street,neutral,source_270723
"Ironically, the bird is sitting right next to a no birds allowed sign.",negative,target_270997,A parrot that is sitting on a cart.,neutral,source_270997
THERE IS A FREIGHT TRAIN THAT IS ON THE TRACKS,negative,source_271009,Large long sized train running down a large track way.,neutral,target_271009
A sign saying no drinks allowed is hanging,negative,target_271033,A sign stating no bottles or glass posting on a sidewalk.,neutral,source_271033
